ticker,name,sector,market_cap,last_close,dma200,pct_from_dma200
ENPH,Enphase Energy,Information Technology,"$4,929,312,800",37.70,53.36,-29.35%
CZR,Caesars Entertainment,Consumer Discretionary,"$5,567,945,935",26.77,30.54,-12.35%
CNC,Centene Corporation,Health Care,"$14,647,224,469",29.04,52.96,-45.17%
IT,Gartner,Information Technology,"$19,024,075,787",251.19,434.06,-42.13%
TTD,Trade Desk (The),Communication Services,"$26,725,624,743",54.66,84.68,-35.45%
PARA,Paramount Global,Communication Services,"$9,112,000,000",10.25,16.50,-37.88%
DIS,Walt Disney,Communication Services,"$148,000,000,000",95.30,105.00,-9.24%
PYPL,PayPal Holdings,Financials,"$62,780,000,000",63.52,78.11,-18.63%
MU,Micron Technology,Information Technology,"$123,450,000,000",82.20,95.00,-13.47%
WBD,Warner Bros Discovery,Communication Services,"$20,005,000,000",11.75,17.90,-34.36%
